din_instante,vento_10m_ms,vento_100m_ms,ssrd_wm2,hora
2024-01-01 00:00:00,3.0043742752334723,4.220179809798994,1.644598388671875,0
2024-01-01 01:00:00,2.969936680070268,4.194745169535478,8.324248095353445e-05,1
2024-01-01 02:00:00,2.91986790578686,4.1408985353013845,0.0,2
2024-01-01 03:00:00,2.856994552462746,4.071086474205254,0.0,3
2024-01-01 04:00:00,2.7876032943397115,3.987264458916837,0.0,4
2024-01-01 05:00:00,2.7331521962733065,3.9090944502924643,0.0,5
2024-01-01 06:00:00,2.7058908634187597,3.8581305189426147,0.0,6
2024-01-01 07:00:00,2.6885927650329595,3.8205402108934297,0.0010613415638605754,7
2024-01-01 08:00:00,2.6773788419249986,3.788824009075592,1.824609646267361,8
2024-01-01 09:00:00,2.688119642131126,3.764015322929001,23.842608506944444,9
2024-01-01 10:00:00,2.8136176700998607,3.8025412539975183,92.75041666666667,10
2024-01-01 11:00:00,2.8673574527647605,3.6741553013714388,210.89864583333335,11
2024-01-01 12:00:00,2.9069935527388413,3.585511901525955,372.6423263888889,12
2024-01-01 13:00:00,2.9222839730014045,3.5125081993280842,530.1359027777778,13
2024-01-01 14:00:00,2.9222757486488025,3.483337880091905,653.3175694444444,14
2024-01-01 15:00:00,2.9218078835856067,3.480206541817723,731.3047916666667,15
2024-01-01 16:00:00,2.9345056419481095,3.497643612688418,745.7043055555556,16
2024-01-01 17:00:00,2.955014536087788,3.533985455248574,715.3528472222222,17
2024-01-01 18:00:00,2.9907614663030953,3.595735118950833,630.4524305555556,18
2024-01-01 19:00:00,3.044197342572269,3.6896197990111235,500.1678125,19
2024-01-01 20:00:00,3.0931240718154314,3.8009114495371894,347.55916666666667,20
2024-01-01 21:00:00,3.0793076502861467,3.9136335726541636,200.7279340277778,21
2024-01-01 22:00:00,3.0149277254554754,4.022060503812866,85.11606770833333,22
2024-01-01 23:00:00,3.041420078113036,4.173090287602768,22.29001953125,23
2024-01-02 00:00:00,3.084484786940571,4.283678790560174,1.5048373752170139,0
2024-01-02 01:00:00,3.0937315868219546,4.3191641986871065,7.650963134235805e-05,1
2024-01-02 02:00:00,3.0938349828587803,4.34142180907525,0.0,2
2024-01-02 03:00:00,3.050841210331026,4.295019298095559,0.0,3
2024-01-02 04:00:00,3.0182964180824654,4.246272190307639,0.0,4
2024-01-02 05:00:00,2.9898826244353165,4.194660541888044,0.0,5
2024-01-02 06:00:00,2.9782137631671515,4.155664211599639,0.0,6
2024-01-02 07:00:00,2.968020399615591,4.114098644848462,0.0008562957578235203,7
2024-01-02 08:00:00,2.9752122740521383,4.098776371978342,1.8073760308159723,8
2024-01-02 09:00:00,3.0045771154555827,4.101841012383824,23.748157552083335,9
2024-01-02 10:00:00,3.076317769548016,4.112071399054769,90.03307291666667,10
2024-01-02 11:00:00,3.1301050977214038,4.006757299978193,203.88770833333334,11
2024-01-02 12:00:00,3.1907225494384264,3.9219468737925336,353.97215277777775,12
2024-01-02 13:00:00,3.245010365913488,3.8999514536303814,501.1190625,13
2024-01-02 14:00:00,3.2853793348770215,3.9225240938870622,626.6024305555555,14
2024-01-02 15:00:00,3.3316221766406975,3.9753103895525235,698.3834027777777,15
2024-01-02 16:00:00,3.349348351878614,4.001322794792129,721.3688888888889,16
2024-01-02 17:00:00,3.359072198509556,4.018585645930501,691.5859027777777,17
2024-01-02 18:00:00,3.3735904657425753,4.047839985808651,610.8039583333333,18
2024-01-02 19:00:00,3.409043908944434,4.130237954642969,485.1990625,19
2024-01-02 20:00:00,3.436726470676802,4.224949672528963,341.59809027777777,20
2024-01-02 21:00:00,3.4038037000520402,4.321524291560862,197.03845486111112,21
2024-01-02 22:00:00,3.359261238712902,4.525347455738956,84.33419270833333,22
2024-01-02 23:00:00,3.3622274111083494,4.649116207813552,22.254622395833334,23
2024-01-03 00:00:00,3.3844650644921073,4.729718137257968,1.4952735731336806,0
2024-01-03 01:00:00,3.372326038680527,4.736169002975154,0.00012425164381663005,1
2024-01-03 02:00:00,3.339077856717198,4.710469028468181,0.0,2
2024-01-03 03:00:00,3.279681500205727,4.636484318183655,0.0,3
2024-01-03 04:00:00,3.2209224386332354,4.552657975645753,0.0,4
2024-01-03 05:00:00,3.1720740332230033,4.475741642407701,0.0,5
2024-01-03 06:00:00,3.160074187282968,4.434705133994068,0.0,6
2024-01-03 07:00:00,3.1639502893001,4.425825095016113,0.0006726726558473375,7
2024-01-03 08:00:00,3.188920752619941,4.44704696664346,1.765930447048611,8
2024-01-03 09:00:00,3.2385163303621485,4.484300612857447,24.053070746527776,9
2024-01-03 10:00:00,3.4242368548521362,4.620441999225754,90.4017361111111,10
2024-01-03 11:00:00,3.498296638954592,4.5415265972198835,209.92506944444443,11
2024-01-03 12:00:00,3.562723371989565,4.477717378392552,361.18145833333335,12
2024-01-03 13:00:00,3.6346915633805845,4.445910890485227,510.4276736111111,13
2024-01-03 14:00:00,3.712851096874527,4.50533797290124,630.1118055555555,14
2024-01-03 15:00:00,3.786142116341111,4.588069454524203,696.7663888888889,15
2024-01-03 16:00:00,3.8290573807559194,4.6404265469364,717.245625,16
2024-01-03 17:00:00,3.8614580421804945,4.68800255788185,685.9863194444445,17
2024-01-03 18:00:00,3.8995519044270925,4.752596565798299,614.3888194444445,18
2024-01-03 19:00:00,3.9424022327749424,4.837881225192736,489.885625,19
2024-01-03 20:00:00,3.9594981361225456,4.922436145572292,339.1254166666667,20
2024-01-03 21:00:00,3.8794537093508707,4.979567486903089,197.67213541666666,21
2024-01-03 22:00:00,3.8326266886530505,5.18279658600297,86.40763020833333,22
2024-01-03 23:00:00,3.843620370967723,5.329797640796868,22.154600694444444,23
2024-01-04 00:00:00,3.86982716150888,5.407812800771237,1.6005546061197917,0
2024-01-04 01:00:00,3.8624746713801765,5.419351705434831,0.00013282072212960984,1
2024-01-04 02:00:00,3.8222314591141098,5.368149205645265,0.0,2
2024-01-04 03:00:00,3.7618741840725716,5.279274875160951,0.0,3
2024-01-04 04:00:00,3.7017966429273135,5.18686916900745,0.0,4
2024-01-04 05:00:00,3.6661914052059275,5.116621606387542,0.0,5
2024-01-04 06:00:00,3.6553216277804244,5.078270189430579,0.0,6
2024-01-04 07:00:00,3.663346371702457,5.063403446390621,0.0004406954844792684,7
2024-01-04 08:00:00,3.680444832056704,5.067419379356356,1.2244075520833333,8
2024-01-04 09:00:00,3.7135205690878594,5.077815200551377,20.10243923611111,9
2024-01-04 10:00:00,3.9050465579435647,5.2050684376218515,83.82517361111111,10
2024-01-04 11:00:00,4.020057875409696,5.171525476226627,201.10847222222222,11
2024-01-04 12:00:00,4.073856286410772,5.1161055899883365,353.7351736111111,12
2024-01-04 13:00:00,4.091158787533932,5.032533059677341,502.4664583333333,13
2024-01-04 14:00:00,4.116271873217457,5.012562411994077,623.6897222222223,14
2024-01-04 15:00:00,4.132717741475459,5.020772704770603,696.8043055555555,15
2024-01-04 16:00:00,4.159834945928603,5.04897235081758,718.1731944444444,16
2024-01-04 17:00:00,4.185704919710235,5.083811222555157,690.3808333333334,17
2024-01-04 18:00:00,4.216478116638163,5.126275651973365,611.2665277777778,18
2024-01-04 19:00:00,4.255972566357764,5.205963558322715,485.7792708333333,19
2024-01-04 20:00:00,4.259901775207538,5.273828701310231,344.3980902777778,20
2024-01-04 21:00:00,4.180494521607182,5.325681713572661,195.33661458333333,21
2024-01-04 22:00:00,4.0911569852501914,5.443283309429317,85.82297743055555,22
2024-01-04 23:00:00,4.083602040389046,5.552333129396979,22.355106336805555,23
2024-01-05 00:00:00,4.099391681828694,5.625001429280877,1.649662136501736,0
2024-01-05 01:00:00,4.092593897854403,5.6404180293926744,0.00013771733476055994,1
2024-01-05 02:00:00,4.053591241451618,5.604035021104736,0.0,2
2024-01-05 03:00:00,4.005928314242082,5.542291452248444,0.0,3
2024-01-05 04:00:00,3.9557977218865172,5.4718623547240215,0.0,4
2024-01-05 05:00:00,3.9345608871418944,5.433974468135421,0.0,5
2024-01-05 06:00:00,3.9238728633764697,5.405337896144925,0.0,6
2024-01-05 07:00:00,3.927607544771941,5.392640650123412,0.0002032095856136746,7
2024-01-05 08:00:00,3.933900832049305,5.3809962451954485,0.9500562201605903,8
2024-01-05 09:00:00,3.9512674608427205,5.373640415928917,18.047991536458333,9
2024-01-05 10:00:00,4.10496074135328,5.419709815916112,82.29743923611112,10
2024-01-05 11:00:00,4.16083545654375,5.320436718152902,200.3670138888889,11
2024-01-05 12:00:00,4.146610706992679,5.171362889798973,356.21680555555554,12
2024-01-05 13:00:00,4.13062000376071,5.045780931907761,503.2761111111111,13
